route,dir,stop,name_tc,name_en,lat,long,name_sc,data_timestamp
1,I,002403,跑馬地 (上),Happy Valley (Upper),22.264400182091,114.18864188053,跑马地 (上),2024-04-02T05:00:03+08:00
1,I,002402,"箕璉坊, 藍塘道","Green Lane, Blue Pool Road",22.265580672091,114.18873205053,"箕琏坊, 蓝塘道",2024-04-02T05:00:03+08:00
1,I,002492,"桂芳街, 成和道","Kwai Fong Street, Sing Woo Road",22.266827182091,114.18744416053,"桂芳街, 成和道",2024-04-02T05:00:03+08:00
1,I,002493,"山村道, 成和道","Village Road, Sing Woo Road",22.268295142091,114.18647527053,"山村道, 成和道",2024-04-02T05:00:03+08:00
1,I,002453,景光街,King Kwong Street,22.268939962091,114.18483901053,景光街,2024-04-02T05:00:03+08:00
1,I,002552,"養和醫院, 黃泥涌道","Hong Kong Sanatorium and Hospital, Wong Nai Chung Road",22.270151022091,114.18267105053,"养和医院, 黄泥涌道",2024-04-02T05:00:03+08:00
1,I,002553,"跑馬地馬場, 黃泥涌道","Happy Valley Racecourse, Wong Nai Chung Road",22.271341142091,114.18075706053,"跑马地马场, 黄泥涌道",2024-04-02T05:00:03+08:00
1,I,002467,"立德里, 摩理臣山道","Lap Tak Lane, Morrison Hill Road",22.276064312091,114.18020849053,"立德里, 摩理臣山道",2024-04-02T05:00:03+08:00
1,I,002566,"利景酒店, 灣仔道","The Charterhouse, Wan Chai Road",22.277832632091,114.17916549053,"利景酒店, 湾仔道",2024-04-02T05:00:03+08:00
1,I,002537,"普樂里, 灣仔道","Bullock Lane, Wan Chai Road",22.276798792091,114.17597252053,"普乐里, 湾仔道",2024-04-02T05:00:03+08:00
1,I,002446,"修頓球場, 軒尼詩道","Southorn Playground, Hennessy Road",22.277433042091,114.17187855053,"修顿球场, 轩尼诗道",2024-04-02T05:00:03+08:00
1,I,002449,"晏頓街, 軒尼詩道","Anton Street, Hennessy Road",22.277666072091,114.16883945053,"晏顿街, 轩尼诗道",2024-04-02T05:00:03+08:00
1,I,001140,"金鐘站 - 太古廣場, 金鐘道","Admiralty Station - Pacific Place, Queensway",22.278070732091,114.16486695053,"金钟站 - 太古广场, 金钟道",2024-04-02T05:00:03+08:00
